date,description,amount,expectedMerchant
2026-01-02,AMZ*2F4K20,-1299,Amazon
2026-01-05,ZEP204I20,-436,Zepto
2026-01-07,SWGY*ORDER89,-289,Swiggy
2026-01-09,NFLX*SUBSCRIPTION,-649,Netflix
2026-01-10,AIRTEL PAY BILL,-799,Airtel
2026-01-12,UPI/UBR*TRIP901,-182,Uber
2026-02-02,AMZN MKTPLACE 883,-2199,Amazon
2026-02-06,ZEPTO DAILY FRESH,-501,Zepto
2026-02-08,SWIGGY INSTAMART,-344,Swiggy
2026-02-09,NFLXCOM 12345,-649,Netflix
2026-02-11,ELECBILL-POWERGRID,-2140,Electricity Board
2026-02-15,SALARY CREDIT,65000,Unknown
2026-03-02,AMAZON SELLER SERVICES,-809,Amazon
2026-03-05,ZEP204I20 ORDER,-478,Zepto
2026-03-07,SWGY*ORDER915,-401,Swiggy
2026-03-09,NETFLIX INDIA,-649,Netflix
2026-03-11,SPTFY PREM,-119,Spotify
2026-03-17,GOOGLEPAY QR,-850,Google

